uuid,fid2,land_type2,issue_year2
5fcbb27e-8efb-4f5c-8293-7463e3982827,7670,200,2022
ba86f4a9-0570-4b5d-b8d8-bbcf8b98ec4b,43950,200,2022
dc75de8a-f479-4973-8a2f-97586ee77df9,39917,200,2022
44454252-d7b8-40ec-9421-468f869423f6,33750,200,2022
1b29cf12-6661-4fca-8375-9274f1cf17c5,9042,200,2022
0f69617e-34ab-4e43-8153-6141e86dd10e,33185,200,2022
5c36ef13-5109-4f7b-ae4f-3e477a807e93,39624,200,2022
19c0c283-c8c6-4cf1-ae7c-526fdb17bb49,43677,200,2022
0c6d3c69-00e0-49b2-9c2b-3f3ad674a3f9,40021,200,2022
dbe07556-39dc-479c-aff7-66814993ecb9,32365,200,2022
cfc0d1f4-984f-485e-89de-f463f5575f20,40071,200,2022
170d0ba2-c134-47ff-b44e-367427e12853,8677,200,2022
2b03d067-8d43-4af4-b38f-0bbc822818f4,33070,200,2022
512aeeeb-ba2e-4076-8f4b-85136738cf2d,44007,200,2022
4d2c8c69-bb95-424a-9a5e-c2144ffd49aa,7540,200,2022
13be34f2-6f87-44ec-9dbc-9b03f24278a3,33030,200,2022
eac203f1-34a1-42d3-8bc7-8a1dd8c9d6f9,33566,200,2022
a05b2844-baa1-49ca-b47a-a517c043fc73,40359,200,2022
2d93f8ee-e961-4801-9281-1262d0f39818,33198,200,2022
12849248-020f-49d1-9dd2-ecd7c46ec869,7599,200,2022
4df45724-9abd-4452-b388-62b491747fdc,32952,200,2022
e24f0eb5-50f2-4f7c-8047-3113e7c54dae,40343,200,2022
dcb21843-9353-4c0a-b399-96d1170c8f83,39652,200,2022
0c238b08-d805-4a6d-aee8-4286cad861f4,44275,200,2022
150461af-048c-428f-a0a3-ba4eabaac5cf,33760,100,2022
ca1d3215-e2bd-4e25-ae93-135d78c7a62b,34068,100,2022
86bd9e96-6e4c-4a75-af61-fbce061a941e,32422,100,2022
eef03776-7534-4639-b443-e32033d719fe,33265,100,2022
f94abc47-3b46-4d6a-8889-69b762d4b8eb,33679,200,2022
dd2fc4a1-ac1f-474a-a26f-12f113beb52f,33730,200,2022
65f7cbd3-f2e6-40b4-aa4f-34af58ed4f42,40172,200,2022
997bb33b-90f3-4f0c-8152-0f9cffcbdc1d,39891,200,2022
208f1278-1fe3-484f-ac87-97cbe3817a40,40549,200,2022
257dd83b-21e0-40af-a393-5fa123111f53,44349,200,2022
706b5bfe-099b-4a45-92b5-f0861e5ca013,44249,200,2022
fb5a441c-e2f6-45c3-a086-3362dc870476,44189,200,2022
82f46eb2-a0c7-427a-b2f1-6844a4d79dee,44353,200,2022
91a881c6-d9a1-49d7-a704-b143c4b8c9f4,7541,200,2022
e302578c-7a23-488c-a17e-f194b4e21940,44149,100,2022
3dd42a56-b4a7-404d-918f-dd610b6ab898,7521,100,2022
ad89f6eb-2ad6-4324-bb05-bc178fabeabe,33543,100,2022
4f39cfa0-eb2c-4ad8-ab36-4c77052fefd3,40381,100,2022
0b0486ef-c861-4dd5-acab-8d4cdc6aef49,39804,100,2022
0cbb157d-3836-44f9-8f75-11aaeaaae928,33107,200,2022
8a39c07c-baf1-4037-bcc8-65387779175a,8859,100,2022
21a1cc15-f1d5-4d51-b9b1-5bb6a90d09b8,8171,100,2022
5f579ded-7fb7-4f1f-b31f-fc3a1b47ad5b,8546,200,2022
74e18dd1-251c-45a9-af31-1790ae1bb9cb,7786,100,2022
d211e676-8f3e-4a76-8516-8e340b29afbd,7823,100,2022
ca5c9949-1a46-4b58-82aa-fdb8e30b92ac,32645,100,2022
dd04416b-1fb4-49fe-a788-658f33c1a601,33113,200,2022
67696c15-e9c1-4da6-a018-e5cd4da00489,32753,100,2022
c1f2d3ef-1ffd-42aa-b0a5-f378ba0b1ac4,32414,100,2022
b3fd2abd-8adc-4260-9fcd-0a77ce746b26,8994,100,2022
0b3b89a7-7d6d-4734-857c-02ac3a10edcb,43564,100,2022
545b7545-7c2f-4cb0-a0de-4902a3f20b10,8186,100,2022
c85948b7-b1ff-4e96-9cfd-ec3effe576c2,8379,100,2022
49b8dfbb-ce2e-41b2-ae33-5a040b9340df,43769,100,2022
14331e20-e503-404f-8edc-edd83b9aa19a,7281,100,2022
04282f3f-ca2e-43c8-badf-97c8901580f0,7359,100,2022
7d6e6eac-2fa8-4966-9184-785b1c941056,33400,100,2022
2a74cbc1-6dcb-4a35-a771-b49fb1ed1ab4,7565,100,2022
